# chapter	source_id	exact string that must appear in the filing
# Whitespace is normalised on both sides before matching, so line breaks in the
# original filing do not matter. Matching is case-insensitive.
28	kvk-turboliquidatie-2026	Zijn er veel schulden? Dan kun je overwegen om geen turboliquidatie te doen, en in plaats daarvan een faillissement aan te vragen.
28	kvk-turboliquidatie-2026	Doe je dit wel, dan loop je het risico dat je als bestuurder persoonlijk aansprakelijk wordt.
28	kvk-turboliquidatie-2026	Vraag advies van een (bedrijfs)jurist en accountant voordat er een ontbindingsbesluit volgt.
26	galperin-2023-covid	and it seemed like we would manage through this unexpected turn of events
26	galperin-2023-covid	most people were starting to get used to this new reality, and gyms were following suit
26	galperin-2023-covid	COVID vaccines were starting to become available
26	galperin-2023-covid	a one-man, owner run business
27	bh-ceo-2023	Hyde joins the company from Yarra Valley Dairy where he spent three years
27	bh-ceo-2023	General Manager, Cider & Alternative Beverages at Little Creatures
27	bh-ceo-2023	in hindsight, Black Hops had outgrown him and staying would create confusion
27	bh-ceo-2023	the company projected it faced a loss of $327,000 for the previous year
27	bh-ceo-2023	the company has wanted to change it for quite some time
27	bh-ceo-2023	this would change in discussions with the remaining Black Hops team
27	bh-ceo-2023	a profit of almost $200,000 for the six months before the raise
27	bh-loss-2023	FY21 was a Covid year in Australia
27	bh-loss-2023	shifted their price points, and we just have not done that
27	bh-loss-2023	towards the end of last year the company had appointed a new head of finance and new external accountants which had given a clearer insight into the business’ accounts
28	eg-binpress-2016	product guys first
28	eg-binpress-2016	on a whim
28	eg-binpress-2016	programming for 10-12 hours a day
28	eg-binpress-2016	the first several months
28	eg-binpress-2016	was brought on too late to have a chance to really succeed
28	kvk-turboliquidatie-2026	De turboliquidatie kun je niet gebruiken voor het beëindigen van een eenmanszaak of vennootschap onder firma (vof)
28	kvk-turboliquidatie-2026	Dan is een turboliquidatie niet mogelijk
28	kvk-turboliquidatie-2026	Je moet dan de wettelijke vereffeningsprocedure volgen
28	kvk-turboliquidatie-2026	Hierbij houd je rekening met de belangen en rangorde van schuldeisers
28	kvk-turboliquidatie-2026	Nadat alles is ingediend, stelt het bestuur schuldeisers schriftelijk op de hoogte van de turboliquidatie
28	eg-binpress-2016	Overall we were able to offer over $40k(!) in cash and prizes
28	eg-binpress-2016	we now had around 200 products on the marketplace
28	eg-binpress-2016	I noticed 500 Startups were accepting applications for their accelerator program (this was around Feb. 2013)
28	eg-binpress-2016	At this point we had reached a local maxima of $20k revenue in one month
28	eg-binpress-2016	It took around 3 months to build the new product
28	eg-binpress-2016	We launched the new product Jan. 2015
28	kvk-turboliquidatie-2026	En je schuldeisers zoveel mogelijk afbetaalt, zodat er geen baten meer overblijven
